k,class_subset,embedding,clustering,precision,recall,f1
2,"[2, 4]",glove_pretrained,spectral,0.7565,0.756,0.7562
2,"[2, 4]",glove_pretrained,dbscan,0.62,0.5375,0.48
2,"[2, 4]",glove_pretrained,hdbscan,0.59,0.5468,0.5162
2,"[3, 4]",glove_pretrained,kmeans,0.6171,0.6228,0.6193
2,"[3, 4]",glove_pretrained,hac,0.5908,0.607,0.5832
2,"[3, 4]",glove_pretrained,spectral,0.643,0.6439,0.6434
2,"[3, 4]",glove_pretrained,dbscan,0.6052,0.5358,0.5084
2,"[3, 4]",glove_pretrained,hdbscan,0.5795,0.5464,0.5386
3,"[0, 1, 2]",glove_pretrained,kmeans,0.6473,0.6468,0.6293
3,"[0, 1, 2]",glove_pretrained,hac,0.6253,0.6041,0.5952
3,"[0, 1, 2]",glove_pretrained,spectral,0.7466,0.7347,0.739
3,"[0, 1, 3]",glove_pretrained,kmeans,0.6395,0.6275,0.6143
